	participant	sentence_number	sentence_index	sentence_order	critical_reached	critical_index	critical_target	critical_distractor	critical_target_word	critical_distractor_word	target_length	condition	condition_label	ortho_similarity	phono_similarity	critical_target_freq	critical_distractor_freq	critical_target_word_freq	critical_distractor_word_freq	block_acc	block_RT	pair_distractor	pair_correct	target_pos	target_pos_verbose	resp	resp_verbose	resp_RT	resp_acc	prev_pos	prev_resp	condition_verbose	inv_RT	ortho_center	phono_center
12495	117	9	2	68	1.0	2	治	阉	治病,	阉病	3	4	both_dif	0	0	4.077	2.1303	0.0	0.0	0	4150	阉病,	治病,	1	R	1	R	842	1	0	0	O-P-	-1.187648456057007	-0.5	-0.5
12501	117	10	4	22	1.0	4	央	佯	中央	中佯	2	3	phon_sim	0	1	2.9499	1.6021	2.9053	0.0	1	9983	中佯	中央	1	R	1	R	737	1	0	0	O-P+	-1.3568521031207599	-0.5	0.5
12510	117	11	4	86	1.0	4	汪	王	汪汪	王王	2	1	both_sim	1	1	2.4048	3.9882	1.7076	0.0	1	7633	王王	汪汪	0	L	0	L	674	1	1	1	O+P+	-1.4836795252225519	0.5	0.5
12523	117	12	9	95	1.0	9	吹	听	吹出	听出	2	2	orth_sim	1	0	3.4048	4.9115	0.0	0.0	1	15650	听出	吹出	1	R	1	R	758	1	1	1	O+P-	-1.3192612137203166	0.5	-0.5
12538	117	13	10	28	1.0	10	悉	恙	熟悉	熟恙	2	2	orth_sim	1	0	3.1697	2.2068	3.0867	0.0	1	16199	熟恙	熟悉	0	L	0	L	1348	1	0	0	O+P-	-0.7418397626112759	0.5	-0.5
12545	117	14	4	88	1.0	4	栖	硒	栖	硒	1	1	both_sim	1	1	2.2148	0.8451	1.5682	0.8451	1	6450	硒	栖	0	L	0	L	717	1	0	0	O+P+	-1.394700139470014	0.5	0.5
12552	117	15	5	92	1.0	5	仗	障	仗	障	1	3	phon_sim	0	1	2.9201	3.3199	2.4265	2.1959	0	6417	障	仗	0	L	1	R	759	0	1	1	O-P+	-1.3175230566534915	-0.5	0.5
12564	117	16	11	71	1.0	11	殃	汽	遭殃	遭汽	2	4	both_dif	0	0	2.0569	3.5573	1.9085	0.0	1	14216	遭汽	遭殃	1	R	1	R	1305	1	0	0	O-P-	-0.7662835249042146	-0.5	-0.5
12571	117	17	5	45	1.0	5	王	骥	王	骥	1	4	both_dif	0	0	3.9882	0.699	3.3122	0.4771	1	6717	骥	王	0	L	0	L	758	1	0	0	O-P-	-1.3192612137203166	-0.5	-0.5
12576	117	18	3	93	1.0	3	眩	渲	头晕目眩	头晕目渲	4	3	phon_sim	0	1	2.2355	1.415	1.1761	0.0	1	7383	头晕目渲	头晕目眩	0	L	0	L	1053	1	0	0	O-P+	-0.949667616334283	-0.5	0.5
12590	117	20	8	19	1.0	8	沼	沿	沼泽,	沿泽	3	2	orth_sim	1	0	2.6365	2.943	0.0	0.0	1	15584	沿泽,	沼泽,	1	R	1	R	969	1	1	1	O+P-	-1.0319917440660475	0.5	-0.5
