	participant	sentence_number	sentence_index	sentence_order	critical_reached	critical_index	critical_target	critical_distractor	critical_target_word	critical_distractor_word	target_length	condition	condition_label	ortho_similarity	phono_similarity	critical_target_freq	critical_distractor_freq	critical_target_word_freq	critical_distractor_word_freq	block_acc	block_RT	pair_distractor	pair_correct	target_pos	target_pos_verbose	resp	resp_verbose	resp_RT	resp_acc	prev_pos	prev_resp
2952	104	71	5	31	1.0	5	沿	迄	沿岸	迄岸	2.0	4	both_dif	0	0	2.943	2.2529	1.5441	0.0	1	12701	迄岸	沿岸	0	L	0	L	1707.82	1	0	0
2964	104	73	7	2	1.0	7	昏	杳	昏暗	杳暗	2.0	2	orth_sim	1	0	3.273	1.3424	1.6128	0.0	1	13650	杳暗	昏暗	0	L	0	L	1960.33	1	0	0
2974	104	74	8	6	1.0	8	滥	湛	滥用	湛用	2.0	1	both_sim	1	1	2.7404	1.9031	2.3324	0.0	1	16984	湛用.	滥用.	0	L	0	L	1453.78	1	0	0
2977	104	75	2	17	1.0	2	俯	副	俯身	副身	2.0	3	phon_sim	0	1	2.4829	3.574	1.4914	0.0	1	8483	副身	俯身	1	R	1	R	1349.48	1	1	1
2990	104	77	6	3	1.0	6	弹	郁	子弹	子郁	2.0	4	both_dif	0	0	4.0592	3.0993	3.3959	0.0	1	16534	子郁	子弹	0	L	0	L	1158.7	1	1	1
3002	104	78	8	43	1.0	8	红	粉	成	粉控	1.0	3	phon_sim	0	1	3.8742	3.5604	4.0983	0.0	0	15649	从	成	0	L	1	R	2697.68	0	0	0
3006	104	79	3	23	1.0	3	昆	昏	都是	昏虫	2.0	1	both_sim	1	1	2.7259	3.273	0.0	0.0	1	6517	也是	都是	0	L	0	L	907.15	1	0	0
3012	104	80	4	85	1.0	4	饺	银	吃	银子	1.0	2	orth_sim	1	0	1.9542	3.6889	4.4458	1.7076	1	8900	院	吃	0	L	0	L	759.42	1	0	0
3021	104	81	6	71	1.0	6	娟	媚	娟	媚	1.0	2	orth_sim	1	0	1.9494	2.3032	1.7924	1.7924	1	10050	媚,	娟,	0	L	0	L	843.22	1	0	0
3031	104	82	6	84	1.0	6	铅	钳	好的	钳笔	2.0	1	both_sim	1	1	2.6571	2.4249	0.0	0.0	1	10883	因此	好的	1	R	1	R	884.79	1	0	0
3042	104	83	9	88	1.0	9	慰	位	安慰	安位	2.0	3	phon_sim	0	1	3.1284	4.4973	2.8927	0.0	1	16950	安位	安慰	1	R	1	R	1496.69	1	0	0
3052	104	84	7	46	1.0	7	脐	二	脐带	二带	2.0	4	both_dif	0	0	2.2304	4.2257	1.7924	0.0	1	9751	二带.	脐带.	0	L	0	L	842.88	1	0	0
3067	104	85	14	39	1.0	14	荧	筷	荧光	筷光	2.0	4	both_dif	0	0	2.2041	1.9638	1.7324	0.0	1	26083	筷光	荧光	1	R	1	R	990.61	1	1	1
